ih_1,ih_2,ih_3,ih_4,ih_5,ih_6,ih_7,ih_8,ih_9,ih_10,ih_11,ih_12,ih_13,ih_14,ih_15,ih_16,ih_17,ih_18,ih_19,ih_20,ih_21,ih_22,ih_23,ih_24,ih_25,ih_26,ih_27,ih_28,ih_29,ih_30,ih_31,ih_32,ih_33,ih_34,ih_35,ih_36,ih_37,ih_38,ih_39,ih_40,ih_41,ih_42,ih_43,ih_44,ih_45,ih_46,ih_47,ih_48,ih_49,ih_50,ih_51,ih_52,gender,age,race,sat,act,phil_cls,psyc_cls,educ
5,6,5,5,5,6,4,4,6,4,4,5,5,4,4,5,5,5,4,3,5,4,6,5,4,5,5,5,4,6,4,4,4,6,6,4,6,5,5,5,4,6,4,5,4,6,5,5,5,4,5,5,1,25,7,2000,,2,2,
1,6,2,2,1,1,1,2,6,6,5,3,4,5,5,6,6,2,7,7,1,1,6,6,2,2,2,5,2,1,1,5,3,7,6,7,2,1,7,3,4,2,2,2,6,3,6,1,5,1,2,1,1,29,7,1550,,3,6,
3,4,5,6,5,3,3,2,4,4,5,4,6,5,4,4,6,3,4,3,6,3,5,4,3,5,2,6,5,3,5,4,4,5,4,4,3,5,4,5,4,3,2,5,4,5,4,5,3,5,5,3,1,25,7,,,0,0,
6,6,2,6,2,2,2,6,2,2,6,2,6,6,2,3,6,2,6,6,2,4,6,6,5,4,2,6,2,2,2,2,2,6,6,6,2,2,6,6,6,6,2,6,6,6,6,2,2,2,2,2,2,27,7,,,1,2,
2,6,2,6,7,5,7,2,6,5,6,3,2,5,5,6,3,5,5,5,4,3,3,4,3,4,3,4,3,3,3,6,2,4,5,4,3,3,4,5,2,3,3,3,4,3,5,4,5,2,3,3,1,23,7,,,0,0,
5,1,2,2,2,2,3,2,6,2,5,6,2,2,5,2,5,2,6,5,2,5,2,2,5,5,2,5,2,5,5,6,3,5,5,5,6,5,2,2,2,2,6,2,2,2,5,2,5,2,2,6,1,24,3,,,1,1,
2,7,1,7,1,1,1,6,4,4,1,7,6,1,4,6,6,3,6,7,6,3,5,5,6,3,5,3,2,1,4,2,2,7,7,5,6,3,5,2,7,7,5,7,7,7,7,2,1,1,3,5,2,52,3,,,0,1,
5,3,5,3,4,6,4,1,7,5,7,2,1,7,7,7,2,5,7,7,2,1,5,4,4,5,3,3,3,3,5,7,4,4,6,4,7,4,3,3,1,1,5,2,5,1,5,4,6,5,4,5,1,43,7,,,0,1,
1,6,4,2,1,1,1,1,1,5,4,5,7,1,5,5,4,1,6,4,4,2,7,7,1,1,1,7,5,2,1,4,1,5,7,6,5,5,5,3,3,2,2,4,5,2,5,1,5,1,1,1,2,23,7,2100,,0,20,
5,3,5,3,2,2,2,6,2,5,3,6,5,1,3,5,6,2,7,5,4,2,6,6,1,2,1,6,1,1,1,5,2,6,6,6,5,2,5,3,3,6,5,4,7,4,6,2,4,1,2,1,1,23,7,2080,,0,1,
1,1,1,7,1,1,1,7,1,1,1,7,7,1,1,4,7,1,6,6,2,1,7,7,1,1,1,6,1,1,1,1,1,7,7,7,2,2,4,4,7,7,1,7,7,7,6,1,1,1,1,1,2,55,7,,,1,2,
2,3,3,1,1,1,1,5,5,6,6,7,6,1,6,5,6,1,7,6,1,1,5,6,2,1,1,3,2,5,2,6,2,7,6,7,2,1,6,5,2,3,2,2,6,5,7,1,2,1,2,2,2,26,7,,22,0,0,
7,3,7,3,5,5,3,4,5,3,3,6,7,2,3,4,6,6,5,4,6,5,6,5,7,6,5,5,2,1,3,2,2,7,7,7,5,3,3,3,6,2,2,2,6,2,7,5,7,1,2,3,2,54,7,,,1,1,
2,5,4,4,2,2,4,6,4,6,4,6,4,2,4,6,6,2,6,7,1,2,6,2,2,4,2,4,2,2,2,4,2,7,7,6,2,2,7,3,6,4,2,5,6,5,6,2,6,2,1,4,1,33,7,1150,,2,12,
6,2,6,2,2,2,2,2,6,6,6,2,2,6,6,6,2,6,6,6,2,2,6,6,6,6,6,2,6,6,6,6,6,6,6,6,6,6,2,2,6,2,6,6,6,2,6,6,6,2,6,6,2,28,7,,,0,0,
5,3,5,3,2,2,1,2,6,7,6,2,6,2,4,7,3,2,7,7,2,1,6,6,3,2,2,6,1,2,3,5,2,7,7,6,2,2,5,6,6,6,2,3,7,6,6,5,2,1,1,4,1,47,7,1350,,2,2,
,,3,5,3,3,5,3,5,6,2,3,,5,,5,5,5,6,,5,3,5,,3,3,3,5,3,4,3,3,1,6,5,5,3,5,6,3,,3,,5,5,,5,3,3,,,2,2,36,7,1200,,0,0,
4,5,3,6,4,2,3,3,5,4,4,2,4,2,4,5,5,3,6,6,2,2,5,5,2,3,5,6,4,2,2,2,1,6,4,5,2,2,5,5,6,4,3,3,7,3,4,4,2,2,3,3,2,24,3,,,0,1,
5,3,5,3,3,1,1,3,6,5,6,3,5,2,1,5,5,2,5,6,2,1,6,6,2,3,2,6,2,2,2,5,2,6,6,6,3,2,6,6,5,5,2,5,6,5,6,2,2,1,2,1,1,33,7,,29,0,0,
6,6,6,2,2,2,6,2,6,6,6,6,6,2,6,6,6,2,6,6,6,6,6,6,6,2,2,6,6,2,6,6,6,6,6,6,6,6,6,2,6,2,6,2,6,2,6,2,6,2,2,1,2,56,2,,,2,4,
5,2,3,3,1,2,1,3,3,7,6,6,2,1,3,2,6,6,5,5,3,4,6,5,6,2,5,2,7,2,5,5,3,7,7,5,3,2,5,5,3,1,1,1,6,1,7,5,3,1,2,7,2,29,7,,,1,1,
4,3,2,4,1,2,2,3,4,2,6,5,1,4,2,4,6,7,6,3,5,2,7,4,2,2,1,5,5,1,1,4,2,7,7,2,1,1,7,5,3,3,1,4,4,5,6,2,1,1,2,2,2,31,7,,,0,0,
5,3,2,3,1,1,1,5,5,5,4,5,7,1,2,3,5,2,5,6,5,2,5,5,5,2,1,4,3,5,6,2,3,7,7,7,2,2,4,2,6,2,1,2,7,4,5,1,4,2,1,3,2,54,7,,,1,2,
4,4,4,4,1,1,1,1,3,6,6,3,4,4,6,1,7,1,7,7,1,1,4,5,2,4,1,5,1,6,5,7,2,7,7,7,6,4,3,2,2,1,1,1,7,1,7,1,3,1,1,2,2,20,7,,29,0,3,
3,6,2,6,1,1,1,6,2,2,2,6,7,2,3,5,5,2,6,6,2,2,6,5,2,1,1,6,2,3,5,2,5,6,6,5,5,3,3,3,,2,1,5,6,6,5,2,3,1,1,5,2,40,7,,,1,0,
5,3,5,3,2,2,2,2,2,5,3,5,3,2,3,4,5,6,6,5,3,2,2,5,3,3,2,5,3,2,4,5,2,7,5,3,6,5,3,2,5,2,5,2,5,2,5,3,5,2,3,3,2,26,7,1110,,0,3,
5,5,3,6,2,2,3,3,6,5,4,4,2,5,5,5,5,3,6,5,3,2,5,6,4,4,3,5,3,3,2,6,3,6,6,5,5,4,5,3,5,5,3,4,5,5,5,4,3,1,2,3,1,35,7,,,0,0,
4,3,3,5,2,2,3,4,5,2,4,6,6,3,4,4,4,5,6,5,5,5,5,6,5,3,3,5,3,3,5,4,4,6,5,5,5,5,4,3,6,5,4,5,5,5,5,3,4,2,3,5,2,64,7,,,1,7,
5,6,2,5,2,2,2,6,5,4,4,6,5,4,3,5,3,4,5,5,3,4,3,5,5,5,4,3,4,3,5,3,4,5,6,4,5,4,3,2,6,5,4,5,5,6,5,3,4,2,3,3,1,32,2,1400,,1,1,
